Location,Gender,Age group,Count
Quebec,Women+,18 years,45851
Quebec,Women+,19 years,46947
Quebec,Women+,20 years,48685
Quebec,Women+,21 years,48882
Quebec,Women+,22 years,49470
Quebec,Women+,23 years,50451
Quebec,Women+,24 years,52407
Quebec,Women+,25 years,52325
Quebec,Women+,26 years,54504
Quebec,Women+,27 years,56346
Quebec,Women+,28 years,58050
Quebec,Women+,29 years,59080
Quebec,Women+,30 years,59634
Quebec,Women+,31 years,61041
Quebec,Women+,32 years,62585
Quebec,Women+,33 years,63443
Quebec,Women+,34 years,62578
Quebec,Women+,35 years,59219
Quebec,Women+,36 years,57453
Quebec,Women+,37 years,57787
Quebec,Women+,38 years,58119
Quebec,Women+,39 years,59157
Quebec,Women+,40 years,59413
Quebec,Women+,41 years,59632
Quebec,Women+,42 years,60313
Quebec,Women+,43 years,61974
Quebec,Women+,44 years,61721
Quebec,Women+,45 to 49 years,286960
Quebec,Women+,50 to 54 years,258993
Quebec,Women+,55 to 59 years,275930
Quebec,Women+,60 to 64 years,314491
Quebec,Women+,65 years and older,1020022
Ontario,Total - gender,16 years,175223
Ontario,Total - gender,17 years,174476
Ontario,Total - gender,18 years,182644
Ontario,Total - gender,19 years,209347
Ontario,Total - gender,20 years,232837
Ontario,Total - gender,21 years,232374
Ontario,Total - gender,22 years,232031
Ontario,Total - gender,23 years,233722
Ontario,Total - gender,24 years,243943
Ontario,Total - gender,25 years,244602
Ontario,Total - gender,26 years,255659
Ontario,Total - gender,27 years,259061
Ontario,Total - gender,28 years,264587
Ontario,Total - gender,29 years,265068
Ontario,Total - gender,30 years,258319
Ontario,Total - gender,31 years,256513
Ontario,Total - gender,32 years,253215
Ontario,Total - gender,33 years,254083
Ontario,Total - gender,34 years,251564
Ontario,Total - gender,35 years,239763
Ontario,Total - gender,36 years,230808
Ontario,Total - gender,37 years,226543
Ontario,Total - gender,38 years,225644
Ontario,Total - gender,39 years,222995
Ontario,Total - gender,40 years,217093
Ontario,Total - gender,41 years,212928
Ontario,Total - gender,42 years,206967
Ontario,Total - gender,43 years,204674
Ontario,Total - gender,44 years,200075
Ontario,Total - gender,45 to 49 years,958119
Ontario,Total - gender,50 to 54 years,966072
Ontario,Total - gender,55 to 59 years,992074
Ontario,Total - gender,60 to 64 years,1050764
Ontario,Total - gender,65 years and older,2954128
Ontario,Men+,16 years,90604
Ontario,Men+,17 years,90157
Ontario,Men+,18 years,95024
Ontario,Men+,19 years,109971
Ontario,Men+,20 years,123613
Ontario,Men+,21 years,123352
Ontario,Men+,22 years,123642
Ontario,Men+,23 years,124905
Ontario,Men+,24 years,130057
Ontario,Men+,25 years,129010
Ontario,Men+,26 years,134688
Ontario,Men+,27 years,135818
Ontario,Men+,28 years,138586
Ontario,Men+,29 years,138810
Ontario,Men+,30 years,133554
Ontario,Men+,31 years,132985
Ontario,Men+,32 years,130176
Ontario,Men+,33 years,131054
Ontario,Men+,34 years,129416
Ontario,Men+,35 years,123001
Ontario,Men+,36 years,117893
Ontario,Men+,37 years,114890
Ontario,Men+,38 years,114330
Ontario,Men+,39 years,112526
Ontario,Men+,40 years,109410
Ontario,Men+,41 years,106911
Ontario,Men+,42 years,103305
Ontario,Men+,43 years,102071
Ontario,Men+,44 years,99406
Ontario,Men+,45 to 49 years,469520
Ontario,Men+,50 to 54 years,469491
Ontario,Men+,55 to 59 years,483700
Ontario,Men+,60 to 64 years,515439
Ontario,Men+,65 years and older,1348904
Ontario,Women+,16 years,84619
Ontario,Women+,17 years,84319
Ontario,Women+,18 years,87620
Ontario,Women+,19 years,99376
Ontario,Women+,20 years,109224
Ontario,Women+,21 years,109022
Ontario,Women+,22 years,108389
Ontario,Women+,23 years,108817
Ontario,Women+,24 years,113886
Ontario,Women+,25 years,115592
Ontario,Women+,26 years,120971
Ontario,Women+,27 years,123243
Ontario,Women+,28 years,126001
Ontario,Women+,29 years,126258
Ontario,Women+,30 years,124765
Ontario,Women+,31 years,123528
Ontario,Women+,32 years,123039
Ontario,Women+,33 years,123029
Ontario,Women+,34 years,122148
Ontario,Women+,35 years,116762
Ontario,Women+,36 years,112915
Ontario,Women+,37 years,111653
Ontario,Women+,38 years,111314
Ontario,Women+,39 years,110469
Ontario,Women+,40 years,107683
Ontario,Women+,41 years,106017
Ontario,Women+,42 years,103662
Ontario,Women+,43 years,102603
Ontario,Women+,44 years,100669
Ontario,Women+,45 to 49 years,488599
Ontario,Women+,50 to 54 years,496581
Ontario,Women+,55 to 59 years,508374
Ontario,Women+,60 to 64 years,535325
Ontario,Women+,65 years and older,1605224
Manitoba,Total - gender,16 years,18281
Manitoba,Total - gender,17 years,18059
Manitoba,Total - gender,18 years,18236
Manitoba,Total - gender,19 years,19277
